City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Tocopilla,CL,70.03,few clouds,-22.092,-70.1979,Hotel Galvarino
119,Kwekwe,ZW,63.0,scattered clouds,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
120,Castro,BR,65.14,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
121,Mitsamiouli,KM,81.5,few clouds,-11.3847,43.2844,Foyer ADM
126,Cajati,BR,71.6,broken clouds,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
129,Pandan,PH,79.07,broken clouds,14.0453,124.1694,Bonifacio Lodge
131,Sorong,ID,79.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
134,Larnaca,CY,67.95,clear sky,34.9167,33.6292,Flamingo Beach Hotel
138,Sola,VU,80.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
143,Kochinda,IN,71.31,clear sky,21.7333,84.35,Shristi Lodge
145,Catuday,PH,78.35,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
148,Alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
149,Cidreira,BR,70.16,light rain,-30.1811,-50.2056,Hotel Castelo
150,Henderson,US,84.22,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
151,Lathrop,US,84.29,clear sky,37.8227,-121.2766,Hampton Inn & Suites Lathrop
154,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
155,Savannah Bight,HN,81.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
156,Port Elizabeth,ZA,65.32,thunderstorm with rain,-33.918,25.5701,39 On Nile Guest House
159,Namibe,AO,70.95,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
160,Bima,ID,75.74,overcast clouds,-8.4667,118.7167,Lambitu Hotel
162,Kavaratti,IN,82.06,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
166,Chuy,UY,65.75,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
168,Pepel,SL,77.5,broken clouds,8.5817,-13.0628,Kingho Railway and Port
170,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
171,Kota Belud,MY,76.73,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
172,Dalbandin,PK,71.13,clear sky,28.8947,64.4101,Sanjrani House
173,Itoman,JP,64.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
175,Vieques,PR,82.42,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
178,Laranjeiras Do Sul,BR,65.23,light rain,-25.4078,-52.4161,Hotel Palmeiras
182,Lazaro Cardenas,MX,79.72,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
183,Labuhan,ID,76.21,overcast clouds,-6.8844,112.2051,DoubleFAG
185,Waingapu,ID,77.09,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
187,Sharjah,AE,76.98,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
188,Lethem,GY,76.44,overcast clouds,3.3803,-59.7968,Savannah Inn
189,Tubuala,PA,80.31,overcast clouds,9.5167,-79.0333,Río Nabagana
192,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
193,Huarmey,PE,71.64,few clouds,-10.0681,-78.1522,Hotel Miramar
196,Port Blair,IN,80.58,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
197,Muisne,EC,78.39,overcast clouds,0.6,-80.0333,Quinta Samay
199,Alagoinhas,BR,72.68,clear sky,-12.1356,-38.4192,Alagoinhas Plaza Hotel
200,Moindou,NC,84.74,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
203,Pacific Grove,US,71.38,few clouds,36.6177,-121.9166,Lovers Point Inn
204,Nabire,ID,79.95,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
205,Lompoc,US,70.7,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
