City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Nouakchott,MR,64.33,clear sky,18.0858,-15.9785,HOTEL IMAN
610,Kaeo,NZ,69.33,scattered clouds,-35.1,173.7833,Bushido Lodge
612,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
613,Dhidhdhoo,MV,83.03,clear sky,6.8833,73.1,Dhidhoo beach
615,Bacalar,MX,86.11,scattered clouds,18.6667,-88.3833,Hotel Laguna Bacalar
620,Macas,EC,78.55,few clouds,-2.3167,-78.1167,Casa Upano
623,Enid,US,82.02,overcast clouds,36.3956,-97.8784,Ramada by Wyndham Enid
624,Kibala,TD,84.92,scattered clouds,9.1104,18.3463,hotel safari
625,Ishigaki,JP,68.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
626,Havelock,US,73.38,clear sky,34.8791,-76.9013,Sherwood Motel
627,Rodrigues Alves,BR,79.0,broken clouds,-7.738,-72.6509,Pousada Aconchego
